STATION_NOM,POLLUANT_NOM,DATE_MESURE,MESURE_H01,MESURE_H02,MESURE_H03,MESURE_H04,MESURE_H05,MESURE_H06,MESURE_H07,MESURE_H08,MESURE_H09,MESURE_H10,MESURE_H11,MESURE_H12,MESURE_H13,MESURE_H14,MESURE_H15,MESURE_H16,MESURE_H17,MESURE_H18,MESURE_H19,MESURE_H20,MESURE_H21,MESURE_H22,MESURE_H23,MESURE_H24,MES_H_MINI,MES_H_MAXI,MOYENNE_JOUR
Bordeaux - Bastide,PM10,2012-04-09,20,24,20,17,14,15,16,16,15,16,13,15,10,9,8,8,11,9,7,10,18,30,26,10,7,30,15
Bordeaux - Bastide,PM10,2012-04-10,10,13,17,18,15,19,29,56,47,36,29,18,10,8,9,12,11,12,14,13,9,12,15,13,8,56,19
Bordeaux - Bastide,PM10,2012-04-11,10,9,8,6,7,11,17,18,20,25,15,10,8,11,11,12,10,9,15,19,16,14,14,14,6,25,13
Bordeaux - Bastide,PM10,2012-04-12,12,13,12,12,12,8,9,13,13,25,22,14,20,,11,14,14,12,12,13,13,,,28,8,28,14
Bordeaux - Bastide,PM10,2012-04-13,25,28,26,28,27,29,44,44,49,37,15,19,12,13,11,11,11,14,16,12,12,12,10,18,10,49,22
Bordeaux - Bastide,PM10,2012-04-14,21,14,12,10,11,13,17,20,23,17,9,14,12,9,7,4,10,10,13,12,15,27,25,32,4,32,15
Bordeaux - Bastide,PM10,2012-04-15,27,19,17,16,15,14,15,18,25,28,38,41,34,31,31,31,16,16,22,25,24,16,13,15,13,41,23
Bordeaux - Bastide,PM10,2012-04-16,15,15,16,15,14,16,20,22,26,27,25,24,16,19,31,30,27,19,22,20,19,19,21,19,14,31,21
Bordeaux - Bastide,PM10,2012-04-17,20,21,27,31,27,39,51,57,64,40,25,24,30,33,30,22,11,12,13,17,20,23,22,14,11,64,28
Bordeaux - Bastide,PM10,2012-04-18,18,19,16,15,14,15,20,21,15,15,22,16,15,11,12,11,10,12,17,15,9,11,16,13,9,22,15
Bordeaux - Bastide,PM10,2012-04-19,8,10,14,14,13,17,20,19,16,13,11,10,9,14,11,15,15,23,25,19,19,18,20,16,8,25,15
Bordeaux - Bastide,PM10,2012-04-20,8,6,9,7,9,13,17,19,17,13,14,8,8,9,10,10,10,10,9,12,19,19,17,15,6,19,12
Bordeaux - Bastide,PM10,2012-04-21,10,10,11,10,12,14,18,18,11,10,9,11,15,12,6,9,9,13,15,16,17,19,19,19,6,19,13
Bordeaux - Bastide,PM10,2012-04-22,13,11,17,11,10,9,11,12,15,15,12,11,10,9,9,13,10,9,11,13,14,17,17,15,9,17,12
Bordeaux - Bastide,PM10,2012-04-23,12,11,10,9,10,13,17,19,15,14,14,15,22,21,12,22,30,13,16,26,37,28,18,20,9,37,18
Bordeaux - Bastide,PM10,2012-04-24,20,17,17,18,15,12,17,19,19,18,15,16,11,13,16,14,14,23,21,21,26,25,22,19,11,26,18
Bordeaux - Bastide,PM10,2012-04-25,18,15,13,10,10,13,12,17,20,23,26,25,61,49,26,29,26,27,30,29,19,21,18,16,10,61,23
Bordeaux - Bastide,PM10,2012-04-26,14,12,10,11,12,17,22,24,18,22,27,24,24,31,22,21,20,18,17,12,12,14,14,18,10,31,18
Bordeaux - Bastide,PM10,2012-04-27,14,14,10,9,8,10,12,15,19,16,14,13,14,15,15,14,17,23,22,16,15,9,8,9,8,23,14
Bordeaux - Bastide,PM10,2012-04-28,10,9,6,15,6,3,12,18,9,10,10,10,8,8,9,13,9,9,13,16,16,16,8,5,3,18,10
Bordeaux - Bastide,PM10,2012-04-29,4,4,7,8,8,9,11,10,11,12,13,14,12,12,12,12,12,11,13,13,18,19,19,17,4,19,12
Bordeaux - Bastide,PM10,2012-04-30,16,17,14,16,16,19,30,26,17,13,15,16,18,23,23,22,19,9,13,15,16,28,35,27,9,35,19
Bordeaux - Bastide,PM10,2012-05-01,20,17,12,11,10,11,10,9,8,11,8,13,9,16,16,13,10,11,11,24,33,27,22,14,8,33,14
Bordeaux - Bastide,PM10,2012-05-02,11,12,11,16,27,42,55,42,32,39,19,10,14,15,13,13,17,17,18,19,26,26,12,10,10,55,22
Bordeaux - Bastide,PM10,2012-05-03,8,9,12,12,16,27,39,42,34,29,25,21,19,36,35,27,29,25,31,38,37,27,15,13,8,42,25
Bordeaux - Bastide,PM10,2012-05-04,11,10,10,10,13,16,21,28,27,25,23,26,15,8,9,9,8,8,7,13,19,11,10,10,7,28,14
Bordeaux - Bastide,PM10,2012-05-05,10,9,9,10,11,12,15,15,14,13,7,4,5,9,9,6,4,4,7,11,15,10,12,18,4,18,10
Bordeaux - Bastide,PM10,2012-05-06,14,12,10,11,12,11,11,12,8,9,10,8,11,8,8,8,6,8,9,10,10,11,10,11,6,14,10
Bordeaux - Bastide,PM10,2012-05-07,15,15,14,15,15,20,24,19,19,17,12,11,15,13,12,18,24,25,25,18,14,15,16,16,11,25,17
Bordeaux - Bastide,PM10,2012-05-08,14,11,11,12,11,13,15,17,17,18,19,16,11,10,13,8,12,8,9,10,14,10,8,5,5,19,12
Bordeaux - Bastide,PM10,2012-05-09,8,5,4,6,8,14,17,20,22,23,24,19,16,18,20,21,26,30,33,32,25,25,26,24,4,33,19
Bordeaux - Bastide,PM10,2012-05-10,20,19,20,15,20,29,34,38,44,37,33,30,38,50,54,67,54,55,76,105,79,49,20,,15,105,43
