ANNEE,COMMUNE,NB_BENEFICIAIRES
2011,Commune Sauveterre de Guyenne,35
2011,Commune Sauviac,NC
2011,Commune Savignac,6
2011,Commune Savignac de l Isle,10
2011,Commune Semens,NC
2011,Commune Sendets,NC
2011,Commune Sigalens,NC
2011,Commune Sillas,NC
2011,Commune Soulac sur Mer,25
2011,Commune Soulignac,7
2011,Commune Soussac,NC
2011,Commune Soussans,15
2011,Commune St Aignan,NC
2011,Commune St Androny,NC
2011,Commune St André de Cubzac,92
2011,Commune St André du Bois,NC
2011,Commune St André et Appelles,6
2011,Commune St Antoine,NC
2011,Commune St Antoine du Queyret,NC
2011,Commune St Antoine sur l Isle,NC
2011,Commune St Aubin de Blaye,17
2011,Commune St Aubin de Médoc,47
2011,Commune St Avit St Nazaire,20
2011,Commune St Avit de Soulège,NC
2011,Commune St Brice,11
2011,Commune St Caprais de Blaye,10
2011,Commune St Caprais de Bordeaux,24
2011,Commune St Christoly Médoc,NC
2011,Commune St Christoly de Blaye,34
2011,Commune St Christophe de Double,12
