#,$id,broader_concept,Titre du du niveau,Commentaire (description) du titre du niveau,libellé alternatif,libellé alternatif,libellé alternatif,libellé alternatif,libellé alternatif,libellé alternatif,
lang,,,fr,fr,fr,fr,fr,fr,fr,fr,
url,skos:Concept,skos:broader,skos:prefLabel,skos:definition,skos:altLabel,skos:altLabel,skos:altLabel,skos:altLabel,skos:altLabel,skos:altLabel,
type,,url,string,string,string,string,string,string,string,string,
,#1-3-42,#1-3,Le Parc,Lieu-dit non habité,"Audenge (Gironde, France) -- Le Parc",PAIE_NAT0000000050695985,,"44,717293344, -0,997857445999955",,,
,#1-3-43,#1-3,La Plagne,Lieu-dit non habité,"Audenge (Gironde, France) -- La Plagne",PAIE_NAT0000000050696198,,"44,6799958080001, -0,968965462999961",,,
,#1-3-44,#1-3,Maignan,Lieu-dit non habité,"Audenge (Gironde, France) -- Maignan",PAIE_NAT0000000050696084,,"44,6937569070001, -0,998423535999962",,,
,#1-3-45,#1-3,Le Grelet,Lieu-dit non habité,"Audenge (Gironde, France) -- Le Grelet",PAIE_NAT0000000050696200,,"44,6775860770001, -0,982335252999917",,,
,#1-3-46,#1-3,Le Brion,Lieu-dit non habité,"Audenge (Gironde, France) -- Le Brion",PAIE_NAT0000000050696077,,"44,7025918720001, -0,926373823999939",,,
,#1-3-47,#1-3,Le Loc de Rous,Lieu-dit non habité,"Audenge (Gironde, France) -- Le Loc de Rous",PAIE_NAT0000000050696082,,"44,694976518, -0,97371097499996",,,
,#1-3-48,#1-3,Le Moulina,Lieu-dit non habité,"Audenge (Gironde, France) -- Le Moulina",PAIE_NAT0000000050696089,,"44,6969297100001, -1,02747737099992",,,
,#1-3-49,#1-3,Le Pavillon,Lieu-dit non habité,"Audenge (Gironde, France) -- Le Pavillon",PAIE_NAT0000000050696092,,"44,6889161360001, -1,05689133199991",,,
,#1-3-5,#1-3,Petit Castéra,Lieu-dit habité,"Audenge (Gironde, France) -- Petit Castéra",PAIHABIT0000000050820747,,"44,7325998850001, -0,852621057999954",,,
,#1-3-50,#1-3,Les Cabanasses,Lieu-dit non habité,"Audenge (Gironde, France) -- Les Cabanasses",PAIE_NAT0000000050696079,,"44,694730135, -0,944354221999958",,,
,#1-3-51,#1-3,Le Pas du Goua,Lieu-dit non habité,"Audenge (Gironde, France) -- Le Pas du Goua",PAIE_NAT0000000050696081,,"44,6890329750001, -0,965686766999909",,,
,#1-3-52,#1-3,Domaine de L'Ecalopier,Lieu-dit non habité,"Audenge (Gironde, France) -- Domaine de L'Ecalopier",PAIE_NAT0000000050696202,,"44,6738759080001, -1,01833517099993",,,
,#1-3-53,#1-3,Taguet,Lieu-dit non habité,"Audenge (Gironde, France) -- Taguet",PAIE_NAT0000000050696080,,"44,7010954900001, -0,974110234999955",,,
,#1-3-54,#1-3,Crabiter,Lieu-dit non habité,"Audenge (Gironde, France) -- Crabiter",PAIE_NAT0000000050696083,,"44,6821171250001, -0,98762514799995",,,
,#1-3-55,#1-3,Le Poulet,Lieu-dit non habité,"Audenge (Gironde, France) -- Le Poulet",PAIE_NAT0000000050695980,,"44,734407403, -0,91559991999992",,,
,#1-3-56,#1-3,Le Bois de Rave,Lieu-dit non habité,"Audenge (Gironde, France) -- Le Bois de Rave",PAIE_NAT0000000050695982,,"44,7177744690001, -0,972660118999954",,,
,#1-3-57,#1-3,Sourbet,Lieu-dit non habité,"Audenge (Gironde, France) -- Sourbet",PAIE_NAT0000000050696203,,"44,6688075690001, -1,00975618399991",,,
,#1-3-58,#1-3,Le Cent,Lieu-dit non habité,"Audenge (Gironde, France) -- Le Cent",PAIE_NAT0000000050696086,,"44,706059602, -1,01147693899992",,,
,#1-3-59,#1-3,Le Graveyron,Lieu-dit non habité,"Audenge (Gironde, France) -- Le Graveyron",PAIE_NAT0000000050696088,,"44,6837910030001, -1,03029759999993",,,
,#1-3-6,#1-3,Testevert,Lieu-dit habité,"Audenge (Gironde, France) -- Testevert",PAIHABIT0000000050820758,,"44,7284225070001, -0,942300205999914",,,
,#1-3-60,#1-3,Domaine de Certes,Lieu-dit non habité,"Audenge (Gironde, France) -- Domaine de Certes",PAIE_NAT0000000050696091,,"44,6913698760001, -1,04677998099993",,,
,#1-3-61,#1-3,Matelot,Lieu-dit non habité,"Audenge (Gironde, France) -- Matelot",PAIE_NAT0000000215054372,,"44,7170502990001, -0,954449139999952",,,
,#1-3-62,#1-3,Le Piquet,Lieu-dit non habité,"Audenge (Gironde, France) -- Le Piquet",PAIE_NAT0000000050696090,,"44,683631941, -1,04955569099991",,,
,#1-3-63,#1-3,Pichecard,Lieu-dit non habité,"Audenge (Gironde, France) -- Pichecard",PAIE_NAT0000000050696076,,"44,7041769400001, -0,906221045999928",,,
,#1-3-64,#1-3,Fiston,Lieu-dit non habité,"Audenge (Gironde, France) -- Fiston",PAIE_NAT0000000050695979,,"44,7369275350001, -0,855593469999917",,,
,#1-3-65,#1-3,Pellecroc,Lieu-dit non habité,"Audenge (Gironde, France) -- Pellecroc",PAIE_NAT0000000050695879,,"44,7419207830001, -0,927580808999949",,,
,#1-3-66,#1-3,Galiney,Lieu-dit non habité,"Audenge (Gironde, France) -- Galiney",PAIE_NAT0000000050696085,,"44,6951500980001, -1,01766537799995",,,
