NB_PRESTATATION,ANNEE,COMMUNE
42,2011,Commune Bernos Beaulac
46,2011,Commune Berson
,2011,Commune Berthez
31,2011,Commune Beychac et Caillau
40,2011,Commune Bieujac
271,2011,Commune Biganos 
14,2011,Commune Birac
,2011,Commune Blaignac
,2011,Commune Blaignan
515,2011,Commune Blanquefort
40,2011,Commune Blasimon
382,2011,Commune Blaye
9,2011,Commune Blesignac
29,2011,Commune Bommes
24,2011,Commune Bonnetan
20,2011,Commune Bonzac
16991,2011,Commune Bordeaux
33,2011,Commune Bouliac
6,2011,Commune Bourdelles
149,2011,Commune Bourg sur Gironde
,2011,Commune Bourideys
13,2011,Commune Brach
60,2011,Commune Branne
8,2011,Commune Brannens
64,2011,Commune Braud et St Louis
,2011,Commune Brouqueyran
377,2011,Commune Bruges
9,2011,Commune Budos
1141,2011,Commune Bègles
40,2011,Commune Cabanac et Villagrains
11,2011,Commune Cabara
7,2011,Commune Cadarsac
118,2011,Commune Cadaujac
165,2011,Commune Cadillac
24,2011,Commune Cadillac en Fronsadais
22,2011,Commune Camarsac
27,2011,Commune Cambes
42,2011,Commune Camblanes et Meynac
14,2011,Commune Camiac et St Denis
24,2011,Commune Camiran
22,2011,Commune Camps sur l Isle
27,2011,Commune Campugnan
28,2011,Commune Cantenac
6,2011,Commune Cantois
120,2011,Commune Canéjan
15,2011,Commune Capian
7,2011,Commune Caplong
45,2011,Commune Captieux
200,2011,Commune Carbon Blanc
72,2011,Commune Carcans
11,2011,Commune Cardan
47,2011,Commune Carignan de Bordeaux
38,2011,Commune Cars
50,2011,Commune Cartelègue
17,2011,Commune Casseuil
,2011,Commune Castelmoron d Albret
137,2011,Commune Castelnau du Médoc
6,2011,Commune Castelviel
52,2011,Commune Castets en Dorthe
7,2011,Commune Castillon de Castets
362,2011,Commune Castillon la Bataille
60,2011,Commune Castres Gironde
58,2011,Commune Caudrot
13,2011,Commune Caumont
,2011,Commune Cauvignac
111,2011,Commune Cavignac
10,2011,Commune Cazalis
10,2011,Commune Cazats
7,2011,Commune Cazaugitat
1865,2011,Commune Cenon
9,2011,Commune Cessac
220,2011,Commune Cestas
32,2011,Commune Chamadelle
51,2011,Commune Cissac Médoc
28,2011,Commune Civrac de Blaye
,2011,Commune Civrac de Dordogne
26,2011,Commune Civrac en Médoc
,2011,Commune Cleyrac
15,2011,Commune Coimères
7,2011,Commune Coirac
21,2011,Commune Comps
,2011,Commune Coubeyrac
6,2011,Commune Couqueques
,2011,Commune Courpiac
13,2011,Commune Cours de Monségur
,2011,Commune Cours les Bains
