Annee;Region;id_departement;Departement;Cultures;Surfaces certifiées bio;Surfaces C1;Surfaces C2;Surfaces C3
2008;CHAMPAGNE-ARDENNE;8;ARDENNES;Légumes frais;20,12;0;0;0
2008;CHAMPAGNE-ARDENNE;8;ARDENNES;Légumes secs;s;s;s;s
2008;CHAMPAGNE-ARDENNE;8;ARDENNES;Oléagineux;s;s;s;s
2008;CHAMPAGNE-ARDENNE;8;ARDENNES;Protéagineux;13,24;0;6;0
2008;CHAMPAGNE-ARDENNE;8;ARDENNES;STH;1598,51;34,47;10,13;0
2008;CHAMPAGNE-ARDENNE;10;AUBE;Autres;139,32;10,91;27,51;0
2008;CHAMPAGNE-ARDENNE;10;AUBE;Céréales;463,6;0;107,61;0
2008;CHAMPAGNE-ARDENNE;10;AUBE;Cultures fourragères;313,68;0,75;4,93;0
2008;CHAMPAGNE-ARDENNE;10;AUBE;Fruits;0,99;6,36;0;0
2008;CHAMPAGNE-ARDENNE;10;AUBE;Légumes frais;17,03;0;3,79;0
2008;CHAMPAGNE-ARDENNE;10;AUBE;Légumes secs;17,97;0;0;0
2008;CHAMPAGNE-ARDENNE;10;AUBE;Oléagineux;47,79;0;0;0
2008;CHAMPAGNE-ARDENNE;10;AUBE;PPAM;s;s;s;s
2008;CHAMPAGNE-ARDENNE;10;AUBE;Protéagineux;s;s;s;s
2008;CHAMPAGNE-ARDENNE;10;AUBE;STH;131,21;4,53;3,05;0
2008;CHAMPAGNE-ARDENNE;10;AUBE;Vigne;44,27;23,03;18,82;2,92
2008;CHAMPAGNE-ARDENNE;51;MARNE;Autres;122,01;0,08;2,14;0
2008;CHAMPAGNE-ARDENNE;51;MARNE;Céréales;576,44;27,32;37,09;0
2008;CHAMPAGNE-ARDENNE;51;MARNE;Cultures fourragères;229,97;24,21;51,12;0
2008;CHAMPAGNE-ARDENNE;51;MARNE;Fruits;0,75;0,02;0;0
2008;CHAMPAGNE-ARDENNE;51;MARNE;Légumes frais;19,77;1,2;0;0
2008;CHAMPAGNE-ARDENNE;51;MARNE;Légumes secs;10,91;0;0;0
2008;CHAMPAGNE-ARDENNE;51;MARNE;Oléagineux;54,31;11;0;0
2008;CHAMPAGNE-ARDENNE;51;MARNE;PPAM;s;s;s;s
2008;CHAMPAGNE-ARDENNE;51;MARNE;Protéagineux;28,76;0;0;0
2008;CHAMPAGNE-ARDENNE;51;MARNE;STH;83,1;0;0;0
2008;CHAMPAGNE-ARDENNE;51;MARNE;Vigne;81,01;4,61;14,96;1,06
2008;CHAMPAGNE-ARDENNE;52;HAUTE-MARNE;Autres;70,3;11,21;10,75;0
2008;CHAMPAGNE-ARDENNE;52;HAUTE-MARNE;Céréales;381,08;38,95;13,83;0
2008;CHAMPAGNE-ARDENNE;52;HAUTE-MARNE;Cultures fourragères;322,92;30,97;15,37;0
2008;CHAMPAGNE-ARDENNE;52;HAUTE-MARNE;Fruits;s;s;s;s
2008;CHAMPAGNE-ARDENNE;52;HAUTE-MARNE;Légumes frais;5,05;0;0,17;0
2008;CHAMPAGNE-ARDENNE;52;HAUTE-MARNE;Légumes secs;s;s;s;s
2008;CHAMPAGNE-ARDENNE;52;HAUTE-MARNE;Oléagineux;6,5;11,26;0;0
2008;CHAMPAGNE-ARDENNE;52;HAUTE-MARNE;Protéagineux;11,23;0;5,45;0
2008;CHAMPAGNE-ARDENNE;52;HAUTE-MARNE;STH;1184,54;253,67;0;0
2008;CORSE;2A;CORSE-DU-SUD;Autres;343,49;6,87;3,19;0
2008;CORSE;2A;CORSE-DU-SUD;Céréales;s;s;s;s
